repository,source_sha,path,requested_scope,coverage_limit,focus,source_url
Ye-Luo-0912/context-agent-prototype,12c86283b8d5991e9f17a07f14871dcf39d65066,crates/context-simple/src/policy/simple.rs,full,full text returned,scoring/current focus/tokenization,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/12c86283b8d5991e9f17a07f14871dcf39d65066/crates/context-simple/src/policy/simple.rs
Ye-Luo-0912/context-agent-prototype,12c86283b8d5991e9f17a07f14871dcf39d65066,crates/agent-runtime/src/frame.rs,1-390;390-670,partial file,shadow counters/authority classes/gate,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/12c86283b8d5991e9f17a07f14871dcf39d65066/crates/agent-runtime/src/frame.rs
Ye-Luo-0912/context-agent-prototype,12c86283b8d5991e9f17a07f14871dcf39d65066,crates/context-simple/src/index/catalog.rs,1-330;325-725,partial file,catalog/candidates/dirty sync,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/12c86283b8d5991e9f17a07f14871dcf39d65066/crates/context-simple/src/index/catalog.rs
Ye-Luo-0912/context-agent-prototype,12c86283b8d5991e9f17a07f14871dcf39d65066,crates/agent-contracts/src/search.rs,1-395,partial file,tokenization/inverted index/rarity,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/12c86283b8d5991e9f17a07f14871dcf39d65066/crates/agent-contracts/src/search.rs
Ye-Luo-0912/context-agent-prototype,12c86283b8d5991e9f17a07f14871dcf39d65066,crates/context-simple/src/gc/full/mod.rs,1-360;650-945,partial file; first response tail truncated,mark/sweep/reactivation/store plan,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/12c86283b8d5991e9f17a07f14871dcf39d65066/crates/context-simple/src/gc/full/mod.rs
Ye-Luo-0912/context-agent-prototype,12c86283b8d5991e9f17a07f14871dcf39d65066,crates/context-simple/src/engine.rs,1-320;1518-1614;1710-1960,partial file; config response tail truncated,config/clocks/ACK/search/restore,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/12c86283b8d5991e9f17a07f14871dcf39d65066/crates/context-simple/src/engine.rs
Ye-Luo-0912/context-agent-prototype,12c86283b8d5991e9f17a07f14871dcf39d65066,crates/context-simple/src/store.rs,1-340;340-750,partial file; latter response tail truncated,bounded store/residual reads/final ranking,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/12c86283b8d5991e9f17a07f14871dcf39d65066/crates/context-simple/src/store.rs
Ye-Luo-0912/context-agent-prototype,12c86283b8d5991e9f17a07f14871dcf39d65066,crates/tool-runtime/src/proof_runner.rs,1-320,partial file,host proof/process runner,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/12c86283b8d5991e9f17a07f14871dcf39d65066/crates/tool-runtime/src/proof_runner.rs
Ye-Luo-0912/context-agent-prototype,12c86283b8d5991e9f17a07f14871dcf39d65066,crates/agent-compose/src/proof_verifier.rs,full,full text returned,cancellation bridge,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/12c86283b8d5991e9f17a07f14871dcf39d65066/crates/agent-compose/src/proof_verifier.rs
Ye-Luo-0912/context-agent-prototype,12c86283b8d5991e9f17a07f14871dcf39d65066,crates/tool-runtime/src/tools/process.rs,250-620;700-1110,partial file; latter response tail truncated,resolution/process wait/cancel/guard,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/12c86283b8d5991e9f17a07f14871dcf39d65066/crates/tool-runtime/src/tools/process.rs
Ye-Luo-0912/context-agent-prototype,12c86283b8d5991e9f17a07f14871dcf39d65066,crates/tool-runtime/src/tools/shell.rs,search excerpt around child.wait,search excerpt only,same EOF wait pattern; not full file,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/12c86283b8d5991e9f17a07f14871dcf39d65066/crates/tool-runtime/src/tools/shell.rs
Ye-Luo-0912/context-agent-prototype,12c86283b8d5991e9f17a07f14871dcf39d65066,crates/agent-contracts/src/context.rs,1570-1695;1690-1900,partial file,serialized misses vs total method,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/12c86283b8d5991e9f17a07f14871dcf39d65066/crates/agent-contracts/src/context.rs
Ye-Luo-0912/context-agent-prototype,12c86283b8d5991e9f17a07f14871dcf39d65066,crates/agent-replay/src/run_summary.rs,1-172,partial file,summary field mismatch/mixed runs/reading,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/12c86283b8d5991e9f17a07f14871dcf39d65066/crates/agent-replay/src/run_summary.rs
Ye-Luo-0912/context-agent-prototype,12c86283b8d5991e9f17a07f14871dcf39d65066,crates/agent-tui/src/state.rs,1-280;260-390,partial file,resync/log order/run filter/live folding,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/12c86283b8d5991e9f17a07f14871dcf39d65066/crates/agent-tui/src/state.rs
Ye-Luo-0912/context-agent-prototype,12c86283b8d5991e9f17a07f14871dcf39d65066,crates/agent-tui/src/main.rs,180-213;632-716,partial file; other command branches from prior same-SHA review,product flags/busy queue/help,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/12c86283b8d5991e9f17a07f14871dcf39d65066/crates/agent-tui/src/main.rs
Ye-Luo-0912/context-agent-prototype,12c86283b8d5991e9f17a07f14871dcf39d65066,docs/ROADMAP.md,1-122,partial file,closed gate vs live old route,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/12c86283b8d5991e9f17a07f14871dcf39d65066/docs/ROADMAP.md
Ye-Luo-0912/context-agent-prototype,12c86283b8d5991e9f17a07f14871dcf39d65066,crates/context-simple/src/materializer.rs,283-351,partial file,PromptRequired duplicate,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/12c86283b8d5991e9f17a07f14871dcf39d65066/crates/context-simple/src/materializer.rs
Ye-Luo-0912/context-agent-prototype,12c86283b8d5991e9f17a07f14871dcf39d65066,crates/agent-runtime/src/prompt.rs,940-1028,partial file,path/revision body omission,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/12c86283b8d5991e9f17a07f14871dcf39d65066/crates/agent-runtime/src/prompt.rs
Ye-Luo-0912/context-agent-prototype,12c86283b8d5991e9f17a07f14871dcf39d65066,crates/agent-runtime/src/command.rs,266-317,partial file,existing continuation and read-only commands,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/12c86283b8d5991e9f17a07f14871dcf39d65066/crates/agent-runtime/src/command.rs
