path,coverage,read_ranges,source_reference,source_commit,note,url
apps/Agent.Desktop/Agent.Desktop.csproj,FULL_TEXT,1–EOF,turn336file0,11afdd747d6cbbb58ef0d7371841e8e365c4f8db,,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/11afdd747d6cbbb58ef0d7371841e8e365c4f8db/apps/Agent.Desktop/Agent.Desktop.csproj
apps/Agent.Desktop/App.axaml,FULL_TEXT,1–EOF,turn337file0,11afdd747d6cbbb58ef0d7371841e8e365c4f8db,,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/11afdd747d6cbbb58ef0d7371841e8e365c4f8db/apps/Agent.Desktop/App.axaml
apps/Agent.Desktop/App.axaml.cs,FULL_TEXT,1–EOF,turn322file0,11afdd747d6cbbb58ef0d7371841e8e365c4f8db,,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/11afdd747d6cbbb58ef0d7371841e8e365c4f8db/apps/Agent.Desktop/App.axaml.cs
apps/Agent.Desktop/Fixture/FixtureAgentConnection.cs,FULL_TEXT,1–EOF,turn332file0,11afdd747d6cbbb58ef0d7371841e8e365c4f8db,,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/11afdd747d6cbbb58ef0d7371841e8e365c4f8db/apps/Agent.Desktop/Fixture/FixtureAgentConnection.cs
apps/Agent.Desktop/Infrastructure/ObservableObject.cs,FULL_TEXT,1–EOF,turn287file0,11afdd747d6cbbb58ef0d7371841e8e365c4f8db,,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/11afdd747d6cbbb58ef0d7371841e8e365c4f8db/apps/Agent.Desktop/Infrastructure/ObservableObject.cs
apps/Agent.Desktop/MainWindow.axaml,FULL_TEXT,1–EOF,turn309file0,11afdd747d6cbbb58ef0d7371841e8e365c4f8db,,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/11afdd747d6cbbb58ef0d7371841e8e365c4f8db/apps/Agent.Desktop/MainWindow.axaml
apps/Agent.Desktop/MainWindow.axaml.cs,FULL_TEXT,1–EOF,turn323file0,11afdd747d6cbbb58ef0d7371841e8e365c4f8db,,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/11afdd747d6cbbb58ef0d7371841e8e365c4f8db/apps/Agent.Desktop/MainWindow.axaml.cs
apps/Agent.Desktop/Program.cs,FULL_TEXT,1–EOF,turn338file0,11afdd747d6cbbb58ef0d7371841e8e365c4f8db,,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/11afdd747d6cbbb58ef0d7371841e8e365c4f8db/apps/Agent.Desktop/Program.cs
apps/Agent.Desktop/ViewModels/MainWindowViewModel.cs,FULL_TEXT,1–EOF,turn278file0;turn357file0,11afdd747d6cbbb58ef0d7371841e8e365c4f8db,,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/11afdd747d6cbbb58ef0d7371841e8e365c4f8db/apps/Agent.Desktop/ViewModels/MainWindowViewModel.cs
apps/Agent.Desktop/app.manifest,FULL_TEXT,1–EOF,turn339file0,11afdd747d6cbbb58ef0d7371841e8e365c4f8db,,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/11afdd747d6cbbb58ef0d7371841e8e365c4f8db/apps/Agent.Desktop/app.manifest
